name,location,founded_date,category,description,main_url,twitter_url,angellist_url,crunchbase_url,business_model,target_client,all_tags
Crypho,"Oslo, Norway",2012,No Category Assigned,"Crypho enables businesses to instantly create real time super-confidential communications channels (chat, file transfers, video conferencing, meetings) across companies.",crypho.com,,,,,,
CS Disco,"Houston, TX, USA",2012,Practice Management - Discovery,Document review done right.,http://www.csdisco.com/,https://twitter.com/CS_Disco,https://angel.co/cs-disco,http://www.crunchbase.com/organization/cs-disco,Legal Tech,Service Providers,"documents, document review"
DATY,"Prague, Czech Republic",2014,Legal Research,"Using public databases & big data magic, we are doing an ultimate B2B information source about companies most crucial for your business in a form of single feed. It something like Facebook but with your customers (or competitors) instead of friends.",daty.cz,,,,,,
Dealcircle,"Copenhagen, Denmark",2014,Document Automation,Organize and execute startup investments with speed and at a fraction of the cost.,dealcircle.co,,,,,,
DealSheet,"New York, NY, USA",2013,Marketplace,Find investment bankers and lawyers with relevant deal experience,http://www.dealsheet.com/,n/a,https://angel.co/dealsheet,n/a,Legal Service Using Tech,Individuals,"web, find-a-lawyer, investment, banker, deals"
Dent,"Las Vegas, NV, USA",2015,Document Automation,"Dent is a mobile App connected to a CMS for lawyers and insurance companies to put the end-user in the driver seat to monitor and take control of his/her insurance claim(s), monitor lawyer progress and medical without making an Appt. and to stop being charged by the minute.",,,,,,,
"Depot Services, Inc.","Baltimore, MD, USA",2015,Practice Management,LegalLogs empowers clients through mobile and desktop interfaces to feed task driven information into their case,legallogs.com,,,,,,
Derecho24,"Santiago, Chile",2013,Marketplace,"It is the most comprehensive online legal resource for reaching legal professionals and for connecting lawyers with people in need of legal representation by offering a mix of a lawyer directory, legal news, an online career center and an e-shop for legal books and documents.",derecho24.cl,,,,,,
Digital Currency Council,"New York, NY, USA",2015,No Category Assigned,"Often referred to as ""the CFA for Bitcoin"", the Digital Currency Council (DCC) is a vertically integrated solution for lawyers, accountants, and financial professionals who are building practices related to the blockchain. The DCC currently provides its 1000 plus members with training and certification, as well connectivity to peers and prospective clients.",http://www.digitalcurrencycouncil.com/,,,,,,
DiligenceEngine,"New York, NY, USA",2008,Document Automation,Technology enhanced contract review: faster and more accurate,https://diligenceengine.com/,https://twitter.com/DiligenceEngine,n/a,n/a,Legal Service Using Tech,Service Providers,"documents, document review, mergers & acquisitions"
"DirectLaw, Inc.",Palm Beach Gardens,2012,Practice Management,,directlaw.com,,,,,,
